serial,title,pdf_url,filename,status,error_message,file_size_kb,timestamp
38,"वित्‍त निर्देश-07   27 फरवरी, 2003",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2003/07.pdf,38_देयकों_के_आहरण_पर_प्रतिबंध.pdf,ok,,56.78,2026-05-21T01:20:20.128510
39,"वित्‍त निर्देश-06   11 फरवरी, 2003",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2003/06.pdf,"39_वर्ष_2002-2003_के_बजट_में_प्रावधानित_राशि_से_31_जनवरी,_2003_के_बाद_क्रय_पर_प्रतिबंध.pdf",ok,,36.63,2026-05-21T01:20:21.584980
40,"वित्‍त निर्देश-30   05 जून, 2002",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2002/30.pdf,40_शासकीय_व्‍यय_में_मितव्‍ययता_तथा_वित्‍तीय_अनुशासन.pdf,ok,,71.55,2026-05-21T01:20:23.302940
41,"वित्‍त निर्देश-23   01 मई, 2002",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2002/23.pdf,41_शासकीय_व्‍यय_में_मितव्‍ययता_तथा_वित्‍तीय_अनुशासन.pdf,ok,,61.43,2026-05-21T01:20:25.455430
42,"वित्‍त निर्देश-22   01 मई, 2002",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2002/22.pdf,42_शासकीय_व्‍यय_में_मितव्‍ययता_तथा_वित्‍तीय_अनुशासन.pdf,ok,,62.78,2026-05-21T01:20:27.442157
43,"वित्‍त निर्देश-09   26 फरवरी, 2002",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2002/09.pdf,43_शासकीय_व्‍यय_में_मितव्‍ययता_तथा_वित्‍तीय_अनुशासन.pdf,ok,,81.22,2026-05-21T01:20:29.515713
44,"वित्‍त निर्देश-01   16 जनवरी, 2002",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2002/01.pdf,44_क्रय_पर_प्रतिबंध.pdf,ok,,39.13,2026-05-21T01:20:31.519782
45,"वित्‍त निर्देश-21   11 अक्‍टूबर, 2001",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2001/21.pdf,45_वित्‍तीय_संकट_से_निपटने_के_उपाय.pdf,ok,,34.4,2026-05-21T01:20:33.620099
1,"छत्तीसगढ़ शासकीय सेवक (सेवा संघ) नियम, 2025- शासकीय सेवक संघों को शासन से पत्राचार किये जाने हेतु अस्थाई मान्यता दिये जाने के संबंध में।",https://gad.cg.gov.in/ActRuleDocs/2025/2025060001.pdf,1_2025.pdf,ok,,595.32,2026-05-25T15:11:14.447938
2,"छत्तीसगढ़ सिविल सेवा (संविदा नियुक्ति) नियम, 2012 में संशोधन|",https://gad.cg.gov.in/ActRuledocs/2018/2018100001.pdf,2_2018.pdf,ok,,2036.7,2026-05-25T15:11:17.881068
3,"छत्तीमसगढ् लोक सेवा आयोग (कार्य परिसीमन) विनियम, 1957",https://gad.cg.gov.in/ActRuleDocs/2018/2018080002.pdf,3_2018.pdf,ok,,39.74,2026-05-25T15:11:19.833452
4,"छत्तीसगढ़ सिविल सेवा (आचरण) नियम, 1965 में संशोधन।",https://gad.cg.gov.in/ActRuleDocs/2018/2018080006.pdf,4_2018.pdf,ok,,3456.65,2026-05-25T15:11:24.254251
5,"छत्तीसगढ़ सचिवालय सेवा भर्ती नियम , 2012 संशोधन 6",https://gad.cg.gov.in/ActRuleDocs/2018/2018060002.pdf,5_2018.pdf,ok,,2881.2,2026-05-25T15:11:27.642498
6,"छत्तीसगढ़ लोक सेवा आयोग सेवा भर्ती विनियम, 2017",https://gad.cg.gov.in/ActRuleDocs/2018/2018020001.pdf,6_2018.pdf,ok,,566.75,2026-05-25T15:11:30.465031
7,राज्य  सेवा परीक्षा नियम,https://gad.cg.gov.in/ActRuleDocs/2017/2017110002.pdf,7_2017.pdf,ok,,353.06,2026-05-25T15:11:32.538607
8,"छत्तीसगढ़ सिविल सेवा (सेवा की सामान्य शर्तें) नियम, 1961 में संशोधन।",https://gad.cg.gov.in/ActRuleDocs/2017/2017070001.pdf,8_2017.pdf,ok,,2569.61,2026-05-25T15:11:35.679891
9,"छत्तीसगढ़ सिविल सेवा (आचरण) नियम, 1965 में संशोधन।",https://gad.cg.gov.in/ActRuleDocs/2017/2017070002.pdf,9_2017.pdf,ok,,2733.62,2026-05-25T15:11:41.873214
10,छत्‍तीसगढ़ मुख्‍य तकनीकी परीक्षक (सतर्कता) विभाग चतुर्थ श्रेणी सेवा भर्ती नियम 2017,https://gad.cg.gov.in/ActRuleDocs/2017/2017060001.pdf,10_2017.pdf,ok,,146.65,2026-05-25T15:11:43.645080
11,"छत्तीसगढ़ लोक सेवा आयोग सेवा भर्ती विनियम, 2017",https://gad.cg.gov.in/ActRuleDocs/2018/2018020001.pdf,11_2018-02-07.pdf,ok,,566.75,2026-05-25T15:11:46.491563
12,"छत्तीसगढ़ लोक सेवा आयोग सेवा भर्ती विनियम, 2017",https://gad.cg.gov.in/ActRuleDocs/2017/2017060002.pdf,12_2018.pdf,ok,,8940.84,2026-05-25T15:11:52.876756
13,"छत्‍तीसगढ् लोक सेवा आयोग प्रकिया नियम,2014",https://gad.cg.gov.in/ActRuleDocs/2017/2017030002.pdf,13_2017.pdf,ok,,5999.6,2026-05-25T15:11:56.333592
14,"छत्तीसगढ़ लोक सेवा (अनुसूचित जातियों, अनुसूचित जनजातियों और अन्य पिछडें वर्गों के लिए आरक्षण) संशोधन नियम, 2012",https://gad.cg.gov.in/ActRuleDocs/2017/2017030001.pdf,14_2017.pdf,ok,,3395.51,2026-05-25T15:11:59.567925
15,"छत्तीसगढ़ सिविल सेवा (सेवा की सामान्य शर्तें) नियम, 1961 में संशोधन।",https://gad.cg.gov.in/ActRuleDocs/2017/2017020004.pdf,15_2017.pdf,ok,,2228.16,2026-05-25T15:12:01.995119
16,"छत्तीसगढ़ सिविल सेवा (महिलाओं की नियुक्ति हेतु विशेष उपबंध) नियम, 1997 में संशोधन बाबत .",https://gad.cg.gov.in/ActRuleDocs/2017/2017010001.pdf,16_2017.pdf,ok,,2186.85,2026-05-25T15:12:04.313044
17,"छत्‍तीसगढ् लोक सेवा आयोग (सेवा की शर्ते) विनियम, 2001",https://gad.cg.gov.in/ActRuleDocs/2016/2016060006.pdf,17_2016.pdf,ok,,55.39,2026-05-25T15:12:06.277100
18,"राज्‍य अभियांत्रिकी सेवा परीक्षा  नियम, 2012",https://gad.cg.gov.in/ActRuleDocs/2016/2016050001.pdf,18_2016.pdf,ok,,764.71,2026-05-25T15:12:09.093154
19,"छत्तीसगढ़ सचिवालय सेवा भर्ती नियम , 2012 संशोधन 5",https://gad.cg.gov.in/ActRuleDocs/2016/2016020001.pdf,19_2016.pdf,ok,,283.79,2026-05-25T15:12:11.646796
20,शासन के सभी विभागों में प्‍लास्टिक फोल्‍डर के स्‍थान पर हस्‍त निर्मित फोल्‍डर का उपयोग,https://gad.cg.gov.in/ActRuleDocs/2015/2015120002.pdf,20_2015.pdf,ok,,379.06,2026-05-25T15:12:13.998413
21,राज्य  सेवा परीक्षा नियम,https://gad.cg.gov.in/ActRuleDocs/2015/2015110004.pdf,21_2015.pdf,ok,,41.63,2026-05-25T15:12:15.462654
22,"छत्तीसगढ़ सचिवालय सेवा भर्ती नियम , 2012 संशोधन 4",https://gad.cg.gov.in/ActRuleDocs/2015/2015110005.pdf,22_2015.pdf,ok,,571.31,2026-05-25T15:12:18.060887
23,राज्य  सेवा परीक्षा नियम,https://gad.cg.gov.in/ActRuleDocs/2015/2015050001.pdf,23_2015.pdf,ok,,65.45,2026-05-25T15:12:19.918983
24,"छत्तीसगढ़ सिविल सेवा (संविदा नियुक्ति) नियम, 2012 में संशोधन|",https://gad.cg.gov.in/ActRuleDocs/2015/2015040001.pdf,24_2015.pdf,ok,,867.06,2026-05-25T15:12:22.284461
25,"छत्तीसगढ़ सचिवालय सेवा भर्ती नियम , 2012 संशोधन 3",https://gad.cg.gov.in/ActRuleDocs/2015/2015010001.pdf,25_2015.pdf,ok,,122.36,2026-05-25T15:12:24.428404
26,"छत्‍तीसगढ् लोक सेवा आयोग प्रकिया नियम,2014",https://gad.cg.gov.in/ActRuleDocs/2017/2017030002.pdf,26_2017-03-08.pdf,ok,,5999.6,2026-05-25T15:12:36.397575
27,"छत्‍तीसगढ् लोक सेवा आयोग प्रकिया नियम,2014",https://gad.cg.gov.in/ActRuleDocs/2014/2014100001.pdf,27_2017.pdf,ok,,1057.34,2026-05-25T15:12:38.785433
28,राज्‍य आर्थिक अपराध अन्‍वेषण ब्‍यूरो सेवा भर्ती नियम 2014,https://gad.cg.gov.in/ActRuleDocs/2014/2014100003.pdf,28_2014.pdf,ok,,1298.0,2026-05-25T15:12:43.347743
29,"छत्तीसगढ़ सिविल सेवा (संविदा नियुक्ति) नियम, 2012 में संशोधन|",https://gad.cg.gov.in/ActRuledocs/2014/2014090001.pdf,29_2014.pdf,ok,,735.45,2026-05-25T15:12:45.859791
30,"छत्तीसगढ़ सिविल सेवा (संविदा नियुक्ति) नियम, 2012 में संशोधन|",https://gad.cg.gov.in/ActRuleDocs/2014/2014070001.pdf,30_2014.pdf,ok,,657.66,2026-05-25T15:12:48.208979
